CLASS	CLASS
Pgm1	variable
{	LB
CONST	CONST
M	variable
=	assignment
13	integer
,	comma
N	variable
=	assignment
56	integer
;	semicolon
VAR	VAR
X	variable
,	comma
Z	variable
,	comma
Y	variable
,	comma
ans	variable
,	comma
a	variable
,	comma
Bob	variable
,	comma
Jane	variable
,	comma
b	variable
,	comma
c	variable
;	semicolon
Y	variable
=	assignment
97	integer
;	semicolon
X	variable
=	assignment
M	variable
*	multiply
N	variable
+	add
18	integer
-	subtract
Y	variable
;	semicolon
ans	variable
=	assignment
a	variable
*	multiply
(	LP
(	LP
Bob	variable
+	add
Jane	variable
-	subtract
10	integer
)	RP
/	divide
2	integer
*	multiply
4	integer
)	RP
/	divide
(	LP
b	variable
+	add
c	variable
)	RP
;	semicolon
IF	IF
1	integer
+	add
2	integer
>	relationalop
5	integer
THEN	THEN
{	LB
Y	variable
=	assignment
3	integer
+	add
4	integer
;	semicolon
Bob	variable
=	assignment
16	integer
;	semicolon
IF	IF
11	integer
+	add
12	integer
<	relationalop
15	integer
THEN	THEN
{	LB
Y	variable
=	assignment
16	integer
;	semicolon
}	RB
ELSE	ELSE
{	LB
X	variable
=	assignment
17	integer
;	semicolon
}	RB
}	RB
ELSE	ELSE
{	LB
IF	IF
18	integer
+	add
19	integer
<	relationalop
20	integer
THEN	THEN
{	LB
Y	variable
=	assignment
21	integer
;	semicolon
}	RB
ELSE	ELSE
{	LB
X	variable
=	assignment
22	integer
;	semicolon
}	RB
}	RB
Y	variable
=	assignment
X	variable
*	multiply
2	integer
;	semicolon
}	RB
